Product ID,Product Name,Brand,Ingredients,Allergens ,,,,,,,,,,,,,,,,
1,Bran Cracker,Maliban,"Whole Meal Flour, Edible Wheat Bran, Vegetable Fat (Palm oil), Salt, Yeast, Leavening Agents (E 500), Antioxidant (E306)",,,,,,,,,,,,,,,,,
2,Cream Cracker ,Maliban,"Wheat Flour, Vegetable Fat (Palm Oil), Malt extract, Salt, Yeast, Leavening Agents (INS 500ii), Emulsifier (INS 322), Vitamin & Mineral premix",,,,,,,,,,,,,,,,,
3,Lemon Puff,Maliban ,"Wheat flour, Sugars (Sugar, glucose), Vegetable fat (Palm oil). Com starch, Milk powder Ammonium bicarbonate (Leavening agent), Sodium bicarbonate (Leavening agent), Salt, Natural lemon flavour, Soy lecithin (Emulsifier), Citric acid, Permitted colours (Carotene), Rosemary plant extract.",,,,,,,,,,,,,,,,,"Gluten, Milk, Soybeans"
4,Lemon Puff,Munchee,"Wheat Flour, Palm Olein, Sugar, Hydrogenated Palm Kernel Oil, Corn Flour, Artificial Flavouring (Lemon), Emulsifier (Soya Lecithin), Acidity Regulator (Citric Acid), Colour (E160a), Sugar, Glucose, Milk Powder, Raising Agents (Ammonium Bicarbonate, Sodium Bicarbonate, Acid Sodium Pyrophosphate), Salt, Emulsifier (Soya Lecithin), Flour treatment agent (Sodium Metabisulphite), Antioxidant (Asocrbyl Palmitate).","Gluten, Milk, Soybeans",,,,,,,,,,,,,,,,
5,Spicy Crackers,Maliban,"Wheat flour, Vegetable fat (Palm oil), Salt, Chili flakes, Yeast, Malt, Emulsifier (INS 481i), Leavening agent (INS 500ii), Nature identical (Chill) flavour, Artificial (Milk flavour, Natural spices (Chili, Pepper, Cumin).",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,Sun Cracker,Munchee,"Wheat Flour, Palm Dein, lodized Salt, Yezo, Mat, Leavening Agent (Sodium Bicarbonate (520ii) and Emulsifier (Str Lecithin (322)",,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
10,Potato cracker ,Munchee,"Wheat Flour, Potato Flour, Vegetable Oil, Salt, Yeast, Leavening Agent (500i),
Soya Lecithin and Plant Extract (Rosemary).",,,,,,,,,,,,,,,,,
11,Sugar Cracker,Julie's,"Wheat Flour (45%), Vegetable Oil (Palm Oil), Sugar (11%), Com Starch, Leavening
Agents [Ammonium Bicarbonate (INS 503(ii)), Sodium Bicarbonate（INS 500(ii)）.Disodium Diphosphate 450(i)], Whey Powder, Salt, Glucose Syrup, Tapioca Starch, Yeast, Flavourings.",,,,,,,,,,,,,,,,,
12,Tiffin Original,Munchee,"Wheat Four, Palm Olein, Glucose, Com Flour, Malt, Leavening Agents [Sodium Bicarbonate (500ii), Ammonium Bicarbonate (503ii)], lodized Salt, Milk Powder, Sugar and Emulsifier [Soya Lecithin 322)].",,,,,,,,,,,,,,,,,
13,Cheesebits,Maliban,"Wheat flour, Vegetable oil (Palm), Cheese powder 7%, Salt, Yeast extract, Nature identical cheese flavour, Yeast, Pepper powder, Emulsifier (Soya lecithin-INS 322)
Leavening agent (Sodium bicarbonate-INS
500i), or realment agent sooum metabisulphite-INS 223), Maltarley) extract.",,,,,,,,,,,,,,,,,
14,Chick Bits Savoury Biscuits ,Maliban,"Wheat flour, Vegetable oil (Palm, Coconut), Nature identical chicken flavor, Salt, Yeast extract, Yeast, Leavening agent (Sodium bicarbonate-INS 500l), Pepper Powder, Emulsifier (Soy lecithin-INS 322
Four treatment agent
(Sodium metabisulphite -INS 223).",,,,,,,,,,,,,,,,,
15,Salsa Biscuits,Munchee,"Wheat Flour, Palm Olein, Corn Flour, Spices (Chili (0.29%), Pepper,Onion, and Corriander), Iodized Salt, Malt, Yeast, Leaving Agent [Sodium Bicarbonate (500(ii)) and Emulsifier (Soya Lecithin (322).",,,,,,,,,,,,,,,,,
16,Krisco Snack Crackers ,Maliban ,"Wheat flour, Vegetable oil (Palm, Coconut), Yeast, Malt (Barley) extract, Salt, Natural spices (Pepper Chilli), Humectant (Glycerol - NS 422), Leavening agent
Sodium bicarbonate -INS 500(ii)), Emulsifier (soya lecithin - INS 322), Yeast extract, Flour treatment agent (Sodium Metabisulphite - INS 223)",,,,,,,,,,,,,,,,,
17,Savoury Nuts Biscuits,Munchee,"Wheat Flour, Palm Olein, lodized Salt, Milk Powder, Sugar, Chilli Powder (1.5%), Leavening Agents [Sodium Bicarbonate (500ii), Ammonium Bicarbonate (503ii)] and Yeast.",,,,,,,,,,,,,,,,,
18,Cheese Buttons Biscuits,Munchee,,,,,,,,,,,,,,,,,,
19,Stix Rolled Wafer Chocolate Flavoured ,Munchee,"Sugar, Wheat Flour, Palm Olein, Cocoa Powder, Milk Powder, Corn Starch, Hydrogenated Palm Kernel Oil, Emulsifier [Soya Lecithin (322)), lodized Salt, Permitted Natural Colour [Caramel Class IV (150d)] and Nature Identical (Chocolate and Vanilla)
Flavours.",,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
22,Wafers Chocolate Flavour,Maliban,"Wheat Flour, Chocolate Cream Filling, Sugar, Vegetable Fat (Palm Oil), Glucose, Cocoa Powder, Corn Starch, Milk Powder, Artificial Chocolate Flavour, Permitted Colour (E150d) (Sulphite), Salt, Emulsifier (Soy Lecithin), raising Agent( E500ii,E503ii). Chocolate Cream Filling Contains: Sugar, Vegetable Fat(Palm Oil), Glucose, Cocoa Powder, Corn Starch, Milk Powder, Artificial Chocolate Flavour, Salt.",,,,,,,,,,,,,,,,,
23,Wafers Vanilla Cream,Maliban,"Vanilla wafer Ingredients: Wheat flour, Sugar, Vegetable fat (palm oil), Corn starch, Glucose, Milk powder Nature agents (Sodium bicarbonate - INS 500il, Ammonium bicarbonate - INS 503ii).",,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
26,Milky Cookies,Little Lion ,"Wheat Flour, Sugar, Vegetable Oil (Palm) / Vegetable Fat, Milk Powder, Corn Starch, Margarine, Butter, Leavening Agents [Ammonium bicarbonate (INS 503ii), Sodium bicarbonate (INS 500ii)], Salt, Nature Identical Flavours (Butter, Vanillin, Almond), Natural Colour [Carotenes (INS 160a(i))], Emulsifier (Soya Lecithin (INS 322)], Plant Extract (Rosemary).",,,,,,,,,,,,,,,,,
27,Hawaian Cookies,Munchee,"Wheat Flour, Sugar, Desiccated Coconut (16%), Palm Olein, Corn Flour, Whey Powder, lodized Salt, Leavening Agents [ Sodium Bicarbonate (500ii), Ammonium Bicarbonate (503ii)) and Emulsifier (Soya Lecithin (322)).",,,,,,,,,,,,,,,,,
28,Banana Sandwich ,Julie's ,,,,,,,,,,,,,,,,,,
29,Peanult Butter Sandwich,Julie's ,"Wheat Four, Peanut Butter (20%), Sugar, Vegetable Oil (Palm Oil, Gluzose Syrup, Skimmed Milk Powder, Leavening Agents [Ammonium Bicarbonate (INS 503(ii)), Sodium Bicarbonate (INS 500(ii)), Disodium Diphosphate (INS 450(i))]. Com Starch, Whey Powder, Salt, Cheese Powder, Flavourings, Yeast",,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,
31,Orange Cream Biscuit,Maliban,"Wheat Flour, Orange Cream Filling, Sugar, Vegetable Oil (Palm oil, Milk Powder, Sugar Syrup, Corn Starch), Raising agents (E500ii, E530ii), Salt, Emulsifier (Soya Lecithin, Natural orange Flavour, Nature Identical vanilla Flavour, Crtic Acid, Permittted Colour (E160a). Orange Cream Filling Contains: Sugar, Vegetable Oil (Palm oil, Milk Powder, Sugar Syrup, Corn Starch) Natural orange Flavour, Salt, Emulsifier (Soya Lecithin, Natural orange Flavour, Nature Identical vanilla Flavour, Crtic Acid, Permittted Colour (E160a).",,,,,,,,,,,,,,,,,
32,Real Chocolate Cream Biscuit ,Maliban,"Wheat flour, Chocolate cream filling Sugar, Vegetable fat (Palm oil), Glucose, Corn starch, Caramel Colour, Cocoa Power, Milk Powder, Salt, Ammonium Bicarbonate (Leavening Agent), Sodium Bicarbonate (Leaving Agent), Soy lecithin (Emulsifier). Artificial (Chocolate, Milk, Vanilla) Flavours.",,,,,,,,,,,,,,,,,
